prompt_id,baseline_prob,condition_a_delta,condition_b_delta,condition_c_delta,max_head_layer,max_head_index
36,0.9924375414848328,0.002593460709718883,0.01618711787189438,0.00991985808817466,1,6
37,0.8619300127029419,0.13876437975086556,0.40161330096441505,0.4173419065879268,9,2
38,0.574508547782898,0.06671927428871292,0.14213348668807907,0.06671927428871292,2,9
39,0.20968252420425415,-0.11589379312422876,0.29867166076018886,-2.180972452513425,4,11
40,0.018789101392030716,0.3720924146170807,0.7581234890687538,0.9785188743603109,4,11
41,0.009557330049574375,0.5113819728018765,0.8139578941162656,0.9918623847154165,4,11
42,0.020742276683449745,0.39580609603602757,0.7872257805256411,0.9807360594764243,4,11
43,2.9681232263101265e-05,0.07753567810617236,-0.038702050506728085,0.517012820033547,4,11
44,0.0001440252090105787,0.16735052065015063,0.6328030711695479,0.9142434033013123,4,11
45,0.005786787252873182,-81.62815599317327,-26.10445511884536,-81.62815599317327,0,0
46,0.44059109687805176,0.11296113363128141,0.3216817832295169,0.11296113363128141,2,9
47,0.6974642276763916,0.1354849306602192,0.16025524231577673,0.1354849306602192,10,0
48,0.00044478714698925614,0.59387529224087,0.9899886461191263,0.0,10,0
49,0.004969338420778513,0.06869062320990542,-0.09676071184632294,0.06869062320990542,2,9
50,0.003459012368693948,-0.21979356295239508,0.6408024652093096,0.885021458844689,1,7
51,0.2021125704050064,0.2841089847823707,0.5308995177883068,0.999690119318629,4,11
52,0.011095896363258362,-0.005343236198234566,0.00199124938056734,-0.3397593176772987,4,11
53,0.00012405018787831068,-0.3937684816668434,-0.28221628441895186,0.0,1,5
54,0.001484064501710236,0.12345025896968917,-0.12025854687831056,0.12345025896968917,2,9
55,0.47501978278160095,-0.10422441933220608,-0.07698836421488675,-0.4799370023964461,4,11
56,0.3483555316925049,0.3357886030405671,0.27357883634964947,0.3357886030405671,2,9
57,0.004963611718267202,-0.06382122611528458,0.008798628424541068,0.008798628424541068,2,9
58,0.008243589662015438,0.12295442562362685,0.3901783960141386,0.9645519977321325,4,11
59,0.48209959268569946,-0.15023535880085392,0.6993375854893414,0.9148746879593447,9,8
60,0.951403021812439,-0.0034488388408042306,0.10301471742639062,0.05281115135835384,8,11
61,0.9407023787498474,-0.0018200691949439524,-0.01917614765896649,-0.0018200691949439524,1,6
62,0.004768877290189266,0.003895387657129332,0.061715818029455076,0.9696365179190957,4,11
63,0.9831884503364563,9.936244954203247e-05,0.029868691825756213,9.936244954203247e-05,5,10
64,0.9910756349563599,-0.004177058593930894,0.07098660110455637,0.16562680236163124,9,8
65,0.9988927245140076,0.0016383191976389014,-0.0005735549288936888,-0.0005903224002856079,9,8
66,0.034631963819265366,0.06433188937666186,0.2661719041694101,0.5284208579901547,3,6
67,0.03886522725224495,-0.03669042026569077,0.2462726467138991,0.38095066475410977,3,6
68,0.041480496525764465,0.2363002921641594,0.39323731395774486,0.6475253429866412,3,6
69,0.789214015007019,0.1582176896375102,0.17102309570997673,0.1690501807517272,10,0
70,0.8421082496643066,0.03406696605774877,0.29598643340511394,0.3430189991217585,0,2
71,0.9834416508674622,0.005148668016250033,0.0004061356607050202,0.0015569038728832352,0,2
72,0.016518516466021538,0.42367486886736383,0.4310397436445339,0.05371124219707676,9,8
73,0.04080677032470703,0.27755344539484444,0.3961852144388745,0.5043995864883498,3,6
74,0.04036235809326172,0.22899224232391371,0.35287688948680385,0.7516200051168986,3,6
75,0.5516760349273682,0.6755727188807453,0.6850029679367751,0.7849581787780527,10,0
76,0.029912833124399185,0.08453727521633841,0.487387736599223,0.7673722533879059,3,6
77,0.021517036482691765,0.0005915059127651269,-0.5027475635764977,-0.5709953824796,3,6
78,0.016700221225619316,0.020241107855428975,-0.5221439363951914,-0.5438184812772624,3,6
79,0.007666883058845997,-0.49999823863528003,0.38147139063874735,0.8137442751091347,3,6
